VPN,Category,Producer Name,Product Name,Container,FOB,Volume Amount,Volume Unit,Pack Size,Style,ABV,Country,Coupler,UPC/EAN,COLA,Cases per Layer,Cases per Pallet
16809,BEER,Insight Cellars,Maturation: Bocoy 6x750ml,,$128.00 ,750,Ml,6,Danish wild ale aged in a very old Oloroso barrel!,7.2,Denmark,,,,9,108
16808,BEER,Insight Cellars,Pot & Column Kriek 6x750ml,,$128.00 ,750,Ml,6,"Danish wild ale w/ cherries, Barbados rum BA",7.6,Denmark,,,,9,108
10005714,BEER,Kerkom,Bink Blond 24/330ML bottles,,$57.00 ,330,Ml,24,Classic dry-hopped Belgian blonde,5.5,Belgium,,5.41396E+12,2.3124E+13,12,72
10002438,BEER,Kerkom,Reuss 12x750ml,,$35.00 ,750,Ml,12,Belgian ale blended w/ lambic,6.5,Belgium,,,*1950,12,72
17062,BEER,Nogne O,4885 Blanc 12x500mL cans,,$40.00 ,500,Ml,12,Classic Belgian wheat w/ orange peel + coriander,4.5,Norway,,,,10,160
12753,BEER,Nogne O,Blonde 12/500mL cans,,$40.00 ,500,Ml,12,"Light, thirst-quenching blonde",4.5,Norway,,7.07267E+12,2.1288E+13,23,70
17061,BEER,Nogne O,Brown Ale 12x330ml,,$39.00 ,330,Ml,12,"Dark brown English-style ale, deep cut",4.5,Norway,,,,10,120
12732,BEER,Nogne O,Dark Horizon 7th ed. 6x330ml,,$110.00 ,330,Ml,6,Imp coffee stout 15 years after the original!,16,Norway,,7.07267E+12,,10,100
10005206,BEER,Nogne O,Imperial Stout 12x500ml,,$47.50 ,500,Ml,12,Classic Norwegian imperial stout,9,Norway,,7.09001E+12,2.1292E+13,1,1
5815,BEER,Nogne O,Imperial Stout 20L KeyKeg,PET,$175.00 ,20,L,1,Classic Norwegian imperial stout,9,Norway,KeyKeg,,,20,40
17059,BEER,Nogne O,Nordic Noir 2nd ed. 6x330ml,,$110.00 ,330,Ml,6,"Strong ale w/ local honey, juniper, & choc malt!",15.5,Norway,,,,10,100
12750,BEER,Nogne O,Porter 12x330ml,,$40.00 ,330,Ml,12,"Perfect chocolately, roasty porter",7,Norway,,7.09001E+12,2.1292E+13,20,120
12751,BEER,Nogne O,Porter 20L KeyKeg,PET,$150.00 ,20,L,1,"Perfect chocolately, roasty porter",7,Norway,KeyKeg,,,20,40
16966,BEER,Pohjala,Chocolate Porter 24x330ml,,$84.00 ,330,Ml,24,"Bold, indulgent imperial chocolate porter",10,Estonia,,,2.3258E+13,12,72
4536,BEER,Pohjala,CocoBanger 24x330ml,,$90.00 ,330,Ml,24,Rich imperial stout w/coconut,12.5,Estonia,,4.74298E+12,2.1026E+13,12,72
3894,BEER,Pohjala,Must Kuld 24x330ml,,$70.00 ,330,Ml,24,Porter brewed in the Baltic!,7.8,Estonia,,4.74298E+12,2.1015E+13,12,72
14139,BEER,Pohjala,Must Kuld Chai Latte 24x330ml,,$70.00 ,330,Ml,24,Smooth porter with aromatic chai spices!,7.8,Estonia,,4.74298E+12,2.2207E+13,22,88
11288,BEER,Pohjala,Neukolln 20L KeyKeg,PET,$130.00 ,20,L,1,Tart and refreshing blackcurrant berliner,5.5,Estonia,KeyKeg,,2.1235E+13,20,40
16967,BEER,Pohjala,Oo Cassis 24x330ml,,$76.00 ,330,Ml,24,"Dark, elegant imp Baltic porter with blackcurrant",10.5,Estonia,,,2.3255E+13,12,72
5181,BEER,Pohjala,Oo XO (Cognac BA) 24x330ml,,$110.00 ,330,Ml,24,Cognac BA imperial stout,11.5,Estonia,,4.74298E+12,2.1026E+13,12,72
8035,BEER,Pohjala,Orange Gose 24x330ml,,$63.00 ,330,Ml,24,"Citrus forward gose w/ Oranges, coriander, salt",5.5,Estonia,,4.74298E+12,2.1103E+13,22,88
11292,BEER,Pohjala,Prenzlauer Berg 24x330ml,,$63.00 ,330,Ml,24,"Rich, creamy, raspberry dessert berliner",4.5,Estonia,,4.74298E+12,2.1103E+13,22,88
14134,BEER,Pohjala,Sun City 24x440ml,,$92.00 ,440,Ml,24,"FL weisse with mango, passionfruit, peach",5,Estonia,,4.74298E+12,2.3095E+13,12,72
13609,BEER,Pohjala,Valk 24x330ml,,$70.00 ,330,Ml,24,Imp Gose with Estonian blueberries and sage,8,Estonia,,4.74298E+12,2.2052E+13,22,88
16968,BEER,Pohjala,Winter Smooth 24/330mL,,$145.00 ,330,Ml,24,Complex barleywine aged extensively in Cognac,12,Estonia,,4.74298E+12,2.3254E+13,12,72
16965,BEER,Pohjala,/Weihenstephan Zeit 24/330mL,,$145.00 ,330,Ml,24,Rich wheatwine aged in Tawny/Ruby/White port bbls,12,Estonia,,,2.3114E+13,12,72
16231,BEER,Ridgeway,ESB 12X500mL bottles,,$39.00 ,500,Ml,12,"Warm, rich ale with whole English hops",5,England,,,,18,90
16230,BEER,Ridgeway,ESB 30L PETainer,PET,$125.00 ,30,L,1,"Warm, rich ale with whole English hops",5.2,England,A-Type,,,8,32
15765,BEER,Ridgeway,Foreign Export Stout 30L PETainer keg,PET,$135.00 ,30,L,1,Warming stout that only gets better.,8,England,A-Type,,,8,32
10000457,BEER,Ridgeway,Imperial Russian Stout 12x330ml,,$40.00 ,330,Ml,12,"Rich, delish imperial stout",10,England,,5.06022E+12,,24,120
5332,BEER,Ridgeway,IPA 30L PETainer,PET,$125.00 ,30,L,1,Trad English IPA: OG AF,6,England,A-Type,,,8,32
